"kod_rem";"kod_seti";"name_rem"
"733";"7";"Хмельникский  РЭС/ВЦПЭС"
"732";"7";"Шаргородский  РЭС/ВЦПЭС"
"734";"7";"Замостянский  РЭС/ВЦПЭС"
"735";"7";"Черневецкий   РЭС/ВЦПЭС"
"723";"7";"Барский       РЭС/ВЦПЭС"
"731";"7";"Тывровский    РЭС/ВЦПЭС"
"722";"7";"Мог-Подольс.  РЭС/ВЦПЭС"
"725";"7";"Калиновский   РЭС/ВЦПЭС"
"724";"7";"Жмеринский    РЭС/ВЦПЭС"
"726";"7";"Казатинский   РЭС/ВЦПЭС"
"727";"7";"Литинский     РЭС/ВЦПЭС"
"728";"7";"Мур-Куриловск.РЭС/ВВПЭС"
"721";"7";"Винницкий гор РЭС/ВЦПЭС"
"1521";"15";"Бершадский    РЭС/ВВПЭС"
"1522";"15";"Гайсинский    РЭС/ВВПЭС"
"1523";"15";"Ильинецкий    РЭС/ВВПЭС"
"1524";"15";"Крыжопольский РЭС/ВВПЭС"
"1525";"15";"Липовецкий    РЭС/ВВПЭС"
"1526";"15";"Немировский   РЭС/ВВПЭС"
"1527";"15";"Песчанский    РЭС/ВВПЭС"
"1528";"15";"ПогребищенскийРЭС/ВВПЭС"
"1529";"15";"Тепликский    6ЭС/ВВПЭС"
"1531";"15";"Тульчинский   РЭС/ВВПЭС"
"1532";"15";"Томашпольский РЭС/ВВПЭС"
"1533";"15";"Тростянецкий  РЭС/ВВПЭС"
"1534";"15";"Чечельникский РЭС/ВВПЭС"
"1537";"15";"Оратовский    РЭС/ВВПЭС"
"1535";"15";"Ямпольский    РЭС/ВВПЭС"
