kod_consumer;name_consumer;rem_id;kod_otr;user_id
15313800;ПП Каменяр;1;36;1
15313801;ТЕСТУ;1;36;1
15313802;ТЕСТУ2;1;36;1
15315000;Держлісгосп;1;35;1
15334700;ВПВКГ;1;50;1
72101100;Власне споживання, брутто;1;10;1
72101102;"Блок ст ""брутто""";1;15;1
72101200;Корисний відпуск;1;17;1
72101700;Втрати в мережах;1;15;1
72101701;В/в втрати;1;15;1
72101800;Виробничі потреби;1;16;1
72103001;ЗОШ №23;1;50;1
72103002;ЗОШ №23 м. Вінниці;1;50;1
72103003; Він коледж КНУБІА;1;52;1
72103004;Він. торг-ек інст. КНТЕУ;1;52;1
72103005;Вінницький нац агр унів;1;52;1
72103006;Він транспортний коледж;1;52;1
72103007;Він.обл.ендокрин центр;1;50;1
72103008;Він.мед.коледж Заболотн;1;52;1
72103009;Міс клин лікарня №3;1;50;1
72103010;ДНЗ Вище пр уч №7м.Він;1;52;1
72103011;Центр проф-тех освіти №1;1;52;1
72103012;ЗОШ 1-111ст.№36м.Вінн;1;43;1
72103013;"КЗ ""ДНЗ № 7""";1;52;1
72103014;ТІВГ 'Київський';1;52;1
72103015;"КЗ""Центр первин. МСД №6""";1;50;1
72103017;ВТЕК КНТЕУ;1;50;1
72103099;Вище профучЛДУ БЖД;1;52;1
72103100;Вінтеплокомуненерго 1614;1;50;1
72103101;"ТОВ""Хлібпром""";1;41;1
72103102;ВОТЕ (Медведева)4011;1;50;1
72103103;ВОТЕ ((Мічуріна) 4011;1;50;1
72103104;ВОТЕ (Пирогова) 4011;1;50;1
72103105;ВОТЕ (загальн) 4011;1;50;1
